date,value,actual,previous_original,previous_revised,revision,indicator,surprise,total_score,zscore_5y
1990-01-06,355000,355000,,,,initial_claims,,0.0,
1990-01-13,369000,369000,355000.0,355000.0,0.0,initial_claims,,0.0,
1990-01-20,375000,375000,369000.0,369000.0,0.0,initial_claims,,0.0,
1990-01-27,345000,345000,375000.0,375000.0,0.0,initial_claims,,0.0,
1990-02-03,368000,368000,345000.0,345000.0,0.0,initial_claims,,0.0,
1990-02-10,367000,367000,368000.0,368000.0,0.0,initial_claims,,0.0,
1990-02-17,348000,348000,367000.0,367000.0,0.0,initial_claims,,0.0,
1990-02-24,350000,350000,348000.0,348000.0,0.0,initial_claims,,0.0,
1990-03-03,351000,351000,350000.0,350000.0,0.0,initial_claims,,0.0,
1990-03-10,349000,349000,351000.0,351000.0,0.0,initial_claims,,0.0,
1990-03-17,349000,349000,349000.0,349000.0,0.0,initial_claims,,0.0,
1990-03-24,331000,331000,349000.0,349000.0,0.0,initial_claims,,0.0,
1990-03-31,346000,346000,331000.0,331000.0,0.0,initial_claims,,0.0,
1990-04-07,367000,367000,346000.0,346000.0,0.0,initial_claims,,0.0,
1990-04-14,357000,357000,367000.0,367000.0,0.0,initial_claims,,0.0,
1990-04-21,360000,360000,357000.0,357000.0,0.0,initial_claims,,0.0,
1990-04-28,363000,363000,360000.0,360000.0,0.0,initial_claims,,0.0,
1990-05-05,354000,354000,363000.0,363000.0,0.0,initial_claims,,0.0,
1990-05-12,355000,355000,354000.0,354000.0,0.0,initial_claims,,0.0,
1990-05-19,353000,353000,355000.0,355000.0,0.0,initial_claims,,0.0,
1990-05-26,359000,359000,353000.0,353000.0,0.0,initial_claims,,0.0,
1990-06-02,368000,368000,359000.0,359000.0,0.0,initial_claims,,0.0,
1990-06-09,359000,359000,368000.0,368000.0,0.0,initial_claims,,0.0,
1990-06-16,359000,359000,359000.0,359000.0,0.0,initial_claims,,0.0,
1990-06-23,362000,362000,359000.0,359000.0,0.0,initial_claims,,0.0,
1990-06-30,364000,364000,362000.0,362000.0,0.0,initial_claims,,0.0,
1990-07-07,362000,362000,364000.0,364000.0,0.0,initial_claims,,0.0,
1990-07-14,367000,367000,362000.0,362000.0,0.0,initial_claims,,0.0,
1990-07-21,370000,370000,367000.0,367000.0,0.0,initial_claims,,0.0,
1990-07-28,369000,369000,370000.0,370000.0,0.0,initial_claims,,0.0,
1990-08-04,369000,369000,369000.0,369000.0,0.0,initial_claims,,0.0,
1990-08-11,381000,381000,369000.0,369000.0,0.0,initial_claims,,0.0,
1990-08-18,393000,393000,381000.0,381000.0,0.0,initial_claims,,0.0,
1990-08-25,394000,394000,393000.0,393000.0,0.0,initial_claims,,0.0,
1990-09-01,392000,392000,394000.0,394000.0,0.0,initial_claims,,0.0,
1990-09-08,390000,390000,392000.0,392000.0,0.0,initial_claims,,0.0,
1990-09-15,395000,395000,390000.0,390000.0,0.0,initial_claims,,0.0,
1990-09-22,389000,389000,395000.0,395000.0,0.0,initial_claims,,0.0,
1990-09-29,404000,404000,389000.0,389000.0,0.0,initial_claims,,0.0,
1990-10-06,404000,404000,404000.0,404000.0,0.0,initial_claims,,0.0,
1990-10-13,422000,422000,404000.0,404000.0,0.0,initial_claims,,0.0,
1990-10-20,435000,435000,422000.0,422000.0,0.0,initial_claims,,0.0,
1990-10-27,440000,440000,435000.0,435000.0,0.0,initial_claims,,0.0,
1990-11-03,430000,430000,440000.0,440000.0,0.0,initial_claims,,0.0,
1990-11-10,448000,448000,430000.0,430000.0,0.0,initial_claims,,0.0,
1990-11-17,447000,447000,448000.0,448000.0,0.0,initial_claims,,0.0,
1990-11-24,462000,462000,447000.0,447000.0,0.0,initial_claims,,0.0,
1990-12-01,451000,451000,462000.0,462000.0,0.0,initial_claims,,0.0,
1990-12-08,449000,449000,451000.0,451000.0,0.0,initial_claims,,0.0,
1990-12-15,447000,447000,449000.0,449000.0,0.0,initial_claims,,0.0,
1990-12-22,474000,474000,447000.0,447000.0,0.0,initial_claims,,0.0,
1990-12-29,454000,454000,474000.0,474000.0,0.0,initial_claims,,0.0,
1991-01-05,415000,415000,454000.0,454000.0,0.0,initial_claims,,0.0,
1991-01-12,437000,437000,415000.0,415000.0,0.0,initial_claims,,0.0,
1991-01-19,445000,445000,437000.0,437000.0,0.0,initial_claims,,0.0,
1991-01-26,462000,462000,445000.0,445000.0,0.0,initial_claims,,0.0,
1991-02-02,483000,483000,462000.0,462000.0,0.0,initial_claims,,0.0,
1991-02-09,480000,480000,483000.0,483000.0,0.0,initial_claims,,0.0,
1991-02-16,474000,474000,480000.0,480000.0,0.0,initial_claims,,0.0,
1991-02-23,499000,499000,474000.0,474000.0,0.0,initial_claims,,0.0,
1991-03-02,488000,488000,499000.0,499000.0,0.0,initial_claims,,0.0,
1991-03-09,499000,499000,488000.0,488000.0,0.0,initial_claims,,0.0,
1991-03-16,498000,498000,499000.0,499000.0,0.0,initial_claims,,0.0,
1991-03-23,509000,509000,498000.0,498000.0,0.0,initial_claims,,0.0,
1991-03-30,499000,499000,509000.0,509000.0,0.0,initial_claims,,0.0,
1991-04-06,452000,452000,499000.0,499000.0,0.0,initial_claims,,0.0,
1991-04-13,477000,477000,452000.0,452000.0,0.0,initial_claims,,0.0,
1991-04-20,478000,478000,477000.0,477000.0,0.0,initial_claims,,0.0,
1991-04-27,462000,462000,478000.0,478000.0,0.0,initial_claims,,0.0,
1991-05-04,451000,451000,462000.0,462000.0,0.0,initial_claims,,0.0,
1991-05-11,446000,446000,451000.0,451000.0,0.0,initial_claims,,0.0,
1991-05-18,448000,448000,446000.0,446000.0,0.0,initial_claims,,0.0,
1991-05-25,443000,443000,448000.0,448000.0,0.0,initial_claims,,0.0,
1991-06-01,432000,432000,443000.0,443000.0,0.0,initial_claims,,0.0,
1991-06-08,441000,441000,432000.0,432000.0,0.0,initial_claims,,0.0,
1991-06-15,429000,429000,441000.0,441000.0,0.0,initial_claims,,0.0,
1991-06-22,423000,423000,429000.0,429000.0,0.0,initial_claims,,0.0,
1991-06-29,418000,418000,423000.0,423000.0,0.0,initial_claims,,0.0,
1991-07-06,422000,422000,418000.0,418000.0,0.0,initial_claims,,0.0,
1991-07-13,420000,420000,422000.0,422000.0,0.0,initial_claims,,0.0,
1991-07-20,408000,408000,420000.0,420000.0,0.0,initial_claims,,0.0,
1991-07-27,423000,423000,408000.0,408000.0,0.0,initial_claims,,0.0,
1991-08-03,438000,438000,423000.0,423000.0,0.0,initial_claims,,0.0,
1991-08-10,437000,437000,438000.0,438000.0,0.0,initial_claims,,0.0,
1991-08-17,433000,433000,437000.0,437000.0,0.0,initial_claims,,0.0,
1991-08-24,425000,425000,433000.0,433000.0,0.0,initial_claims,,0.0,
1991-08-31,425000,425000,425000.0,425000.0,0.0,initial_claims,,0.0,
1991-09-07,424000,424000,425000.0,425000.0,0.0,initial_claims,,0.0,
1991-09-14,418000,418000,424000.0,424000.0,0.0,initial_claims,,0.0,
1991-09-21,419000,419000,418000.0,418000.0,0.0,initial_claims,,0.0,
1991-09-28,437000,437000,419000.0,419000.0,0.0,initial_claims,,0.0,
1991-10-05,424000,424000,437000.0,437000.0,0.0,initial_claims,,0.0,
1991-10-12,425000,425000,424000.0,424000.0,0.0,initial_claims,,0.0,
1991-10-19,419000,419000,425000.0,425000.0,0.0,initial_claims,,0.0,
1991-10-26,423000,423000,419000.0,419000.0,0.0,initial_claims,,0.0,
1991-11-02,447000,447000,423000.0,423000.0,0.0,initial_claims,,0.0,
1991-11-09,453000,453000,447000.0,447000.0,0.0,initial_claims,,0.0,
1991-11-16,439000,439000,453000.0,453000.0,0.0,initial_claims,,0.0,
1991-11-23,444000,444000,439000.0,439000.0,0.0,initial_claims,,0.0,
1991-11-30,444000,444000,444000.0,444000.0,0.0,initial_claims,,0.0,
1991-12-07,475000,475000,444000.0,444000.0,0.0,initial_claims,,0.0,
1991-12-14,475000,475000,475000.0,475000.0,0.0,initial_claims,,0.0,
1991-12-21,436000,436000,475000.0,475000.0,0.0,initial_claims,,0.0,
1991-12-28,441000,441000,436000.0,436000.0,0.0,initial_claims,,0.0,
1992-01-04,432000,432000,441000.0,441000.0,0.0,initial_claims,,0.0,
1992-01-11,440000,440000,432000.0,432000.0,0.0,initial_claims,,0.0,
1992-01-18,443000,443000,440000.0,440000.0,0.0,initial_claims,,0.0,
1992-01-25,441000,441000,443000.0,443000.0,0.0,initial_claims,,0.0,
1992-02-01,440000,440000,441000.0,441000.0,0.0,initial_claims,,0.0,
1992-02-08,445000,445000,440000.0,440000.0,0.0,initial_claims,,0.0,
1992-02-15,446000,446000,445000.0,445000.0,0.0,initial_claims,,0.0,
1992-02-22,436000,436000,446000.0,446000.0,0.0,initial_claims,,0.0,
1992-02-29,444000,444000,436000.0,436000.0,0.0,initial_claims,,0.0,
1992-03-07,421000,421000,444000.0,444000.0,0.0,initial_claims,,0.0,
1992-03-14,437000,437000,421000.0,421000.0,0.0,initial_claims,,0.0,
1992-03-21,440000,440000,437000.0,437000.0,0.0,initial_claims,,0.0,
1992-03-28,420000,420000,440000.0,440000.0,0.0,initial_claims,,0.0,
1992-04-04,412000,412000,420000.0,420000.0,0.0,initial_claims,,0.0,
1992-04-11,413000,413000,412000.0,412000.0,0.0,initial_claims,,0.0,
1992-04-18,424000,424000,413000.0,413000.0,0.0,initial_claims,,0.0,
1992-04-25,424000,424000,424000.0,424000.0,0.0,initial_claims,,0.0,
1992-05-02,431000,431000,424000.0,424000.0,0.0,initial_claims,,0.0,
1992-05-09,417000,417000,431000.0,431000.0,0.0,initial_claims,,0.0,
1992-05-16,414000,414000,417000.0,417000.0,0.0,initial_claims,,0.0,
1992-05-23,414000,414000,414000.0,414000.0,0.0,initial_claims,,0.0,
1992-05-30,411000,411000,414000.0,414000.0,0.0,initial_claims,,0.0,
1992-06-06,416000,416000,411000.0,411000.0,0.0,initial_claims,,0.0,
1992-06-13,420000,420000,416000.0,416000.0,0.0,initial_claims,,0.0,
1992-06-20,419000,419000,420000.0,420000.0,0.0,initial_claims,,0.0,
1992-06-27,420000,420000,419000.0,419000.0,0.0,initial_claims,,0.0,
1992-07-04,407000,407000,420000.0,420000.0,0.0,initial_claims,,0.0,
1992-07-11,408000,408000,407000.0,407000.0,0.0,initial_claims,,0.0,
1992-07-18,392000,392000,408000.0,408000.0,0.0,initial_claims,,0.0,
1992-07-25,564000,564000,392000.0,392000.0,0.0,initial_claims,,0.0,
1992-08-01,423000,423000,564000.0,564000.0,0.0,initial_claims,,0.0,
1992-08-08,406000,406000,423000.0,423000.0,0.0,initial_claims,,0.0,
1992-08-15,401000,401000,406000.0,406000.0,0.0,initial_claims,,0.0,
1992-08-22,398000,398000,401000.0,401000.0,0.0,initial_claims,,0.0,
1992-08-29,408000,408000,398000.0,398000.0,0.0,initial_claims,,0.0,
1992-09-05,416000,416000,408000.0,408000.0,0.0,initial_claims,,0.0,
1992-09-12,416000,416000,416000.0,416000.0,0.0,initial_claims,,0.0,
1992-09-19,427000,427000,416000.0,416000.0,0.0,initial_claims,,0.0,
1992-09-26,409000,409000,427000.0,427000.0,0.0,initial_claims,,0.0,
1992-10-03,398000,398000,409000.0,409000.0,0.0,initial_claims,,0.0,
1992-10-10,374000,374000,398000.0,398000.0,0.0,initial_claims,,0.0,
1992-10-17,385000,385000,374000.0,374000.0,0.0,initial_claims,,0.0,
1992-10-24,367000,367000,385000.0,385000.0,0.0,initial_claims,,0.0,
1992-10-31,365000,365000,367000.0,367000.0,0.0,initial_claims,,0.0,
1992-11-07,374000,374000,365000.0,365000.0,0.0,initial_claims,,0.0,
1992-11-14,377000,377000,374000.0,374000.0,0.0,initial_claims,,0.0,
1992-11-21,357000,357000,377000.0,377000.0,0.0,initial_claims,,0.0,
1992-11-28,341000,341000,357000.0,357000.0,0.0,initial_claims,,0.0,
1992-12-05,350000,350000,341000.0,341000.0,0.0,initial_claims,,0.0,
1992-12-12,359000,359000,350000.0,350000.0,0.0,initial_claims,,0.0,
1992-12-19,334000,334000,359000.0,359000.0,0.0,initial_claims,,0.0,
1992-12-26,313000,313000,334000.0,334000.0,0.0,initial_claims,,0.0,
1993-01-02,341000,341000,313000.0,313000.0,0.0,initial_claims,,0.0,
1993-01-09,354000,354000,341000.0,341000.0,0.0,initial_claims,,0.0,
1993-01-16,352000,352000,354000.0,354000.0,0.0,initial_claims,,0.0,
1993-01-23,341000,341000,352000.0,352000.0,0.0,initial_claims,,0.0,
1993-01-30,340000,340000,341000.0,341000.0,0.0,initial_claims,,0.0,
1993-02-06,319000,319000,340000.0,340000.0,0.0,initial_claims,,0.0,
1993-02-13,321000,321000,319000.0,319000.0,0.0,initial_claims,,0.0,
1993-02-20,351000,351000,321000.0,321000.0,0.0,initial_claims,,0.0,
1993-02-27,362000,362000,351000.0,351000.0,0.0,initial_claims,,0.0,
1993-03-06,354000,354000,362000.0,362000.0,0.0,initial_claims,,0.0,
1993-03-13,346000,346000,354000.0,354000.0,0.0,initial_claims,,0.0,
1993-03-20,338000,338000,346000.0,346000.0,0.0,initial_claims,,0.0,
1993-03-27,366000,366000,338000.0,338000.0,0.0,initial_claims,,0.0,
1993-04-03,365000,365000,366000.0,366000.0,0.0,initial_claims,,0.0,
1993-04-10,353000,353000,365000.0,365000.0,0.0,initial_claims,,0.0,
1993-04-17,351000,351000,353000.0,353000.0,0.0,initial_claims,,0.0,
1993-04-24,350000,350000,351000.0,351000.0,0.0,initial_claims,,0.0,
1993-05-01,343000,343000,350000.0,350000.0,0.0,initial_claims,,0.0,
1993-05-08,339000,339000,343000.0,343000.0,0.0,initial_claims,,0.0,
1993-05-15,345000,345000,339000.0,339000.0,0.0,initial_claims,,0.0,
1993-05-22,342000,342000,345000.0,345000.0,0.0,initial_claims,,0.0,
1993-05-29,349000,349000,342000.0,342000.0,0.0,initial_claims,,0.0,
1993-06-05,343000,343000,349000.0,349000.0,0.0,initial_claims,,0.0,
1993-06-12,343000,343000,343000.0,343000.0,0.0,initial_claims,,0.0,
1993-06-19,345000,345000,343000.0,343000.0,0.0,initial_claims,,0.0,
1993-06-26,340000,340000,345000.0,345000.0,0.0,initial_claims,,0.0,
1993-07-03,334000,334000,340000.0,340000.0,0.0,initial_claims,,0.0,
1993-07-10,314000,314000,334000.0,334000.0,0.0,initial_claims,,0.0,
1993-07-17,335000,335000,314000.0,314000.0,0.0,initial_claims,,0.0,
1993-07-24,415000,415000,335000.0,335000.0,0.0,initial_claims,,0.0,
1993-07-31,356000,356000,415000.0,415000.0,0.0,initial_claims,,0.0,
1993-08-07,346000,346000,356000.0,356000.0,0.0,initial_claims,,0.0,
1993-08-14,339000,339000,346000.0,346000.0,0.0,initial_claims,,0.0,
1993-08-21,342000,342000,339000.0,339000.0,0.0,initial_claims,,0.0,
1993-08-28,337000,337000,342000.0,342000.0,0.0,initial_claims,,0.0,
1993-09-04,334000,334000,337000.0,337000.0,0.0,initial_claims,,0.0,
1993-09-11,333000,333000,334000.0,334000.0,0.0,initial_claims,,0.0,
1993-09-18,346000,346000,333000.0,333000.0,0.0,initial_claims,,0.0,
1993-09-25,343000,343000,346000.0,346000.0,0.0,initial_claims,,0.0,
1993-10-02,333000,333000,343000.0,343000.0,0.0,initial_claims,,0.0,
1993-10-09,355000,355000,333000.0,333000.0,0.0,initial_claims,,0.0,
1993-10-16,359000,359000,355000.0,355000.0,0.0,initial_claims,,0.0,
1993-10-23,354000,354000,359000.0,359000.0,0.0,initial_claims,,0.0,
1993-10-30,348000,348000,354000.0,354000.0,0.0,initial_claims,,0.0,
1993-11-06,350000,350000,348000.0,348000.0,0.0,initial_claims,,0.0,
1993-11-13,341000,341000,350000.0,350000.0,0.0,initial_claims,,0.0,
1993-11-20,336000,336000,341000.0,341000.0,0.0,initial_claims,,0.0,
1993-11-27,337000,337000,336000.0,336000.0,0.0,initial_claims,,0.0,
1993-12-04,337000,337000,337000.0,337000.0,0.0,initial_claims,,0.0,
1993-12-11,334000,334000,337000.0,337000.0,0.0,initial_claims,,0.0,
1993-12-18,331000,331000,334000.0,334000.0,0.0,initial_claims,,0.0,
1993-12-25,290000,290000,331000.0,331000.0,0.0,initial_claims,,0.0,
1994-01-01,341000,341000,290000.0,290000.0,0.0,initial_claims,,0.0,
1994-01-08,343000,343000,341000.0,341000.0,0.0,initial_claims,,0.0,
1994-01-15,355000,355000,343000.0,343000.0,0.0,initial_claims,,0.0,
1994-01-22,351000,351000,355000.0,355000.0,0.0,initial_claims,,0.0,
1994-01-29,406000,406000,351000.0,351000.0,0.0,initial_claims,,0.0,
1994-02-05,361000,361000,406000.0,406000.0,0.0,initial_claims,,0.0,
1994-02-12,354000,354000,361000.0,361000.0,0.0,initial_claims,,0.0,
1994-02-19,352000,352000,354000.0,354000.0,0.0,initial_claims,,0.0,
1994-02-26,327000,327000,352000.0,352000.0,0.0,initial_claims,,0.0,
1994-03-05,348000,348000,327000.0,327000.0,0.0,initial_claims,,0.0,
1994-03-12,341000,341000,348000.0,348000.0,0.0,initial_claims,,0.0,
1994-03-19,332000,332000,341000.0,341000.0,0.0,initial_claims,,0.0,
1994-03-26,322000,322000,332000.0,332000.0,0.0,initial_claims,,0.0,
1994-04-02,342000,342000,322000.0,322000.0,0.0,initial_claims,,0.0,
1994-04-09,349000,349000,342000.0,342000.0,0.0,initial_claims,,0.0,
1994-04-16,354000,354000,349000.0,349000.0,0.0,initial_claims,,0.0,
1994-04-23,331000,331000,354000.0,354000.0,0.0,initial_claims,,0.0,
1994-04-30,344000,344000,331000.0,331000.0,0.0,initial_claims,,0.0,
1994-05-07,371000,371000,344000.0,344000.0,0.0,initial_claims,,0.0,
1994-05-14,360000,360000,371000.0,371000.0,0.0,initial_claims,,0.0,
1994-05-21,357000,357000,360000.0,360000.0,0.0,initial_claims,,0.0,
1994-05-28,348000,348000,357000.0,357000.0,0.0,initial_claims,,0.0,
1994-06-04,345000,345000,348000.0,348000.0,0.0,initial_claims,,0.0,
1994-06-11,338000,338000,345000.0,345000.0,0.0,initial_claims,,0.0,
1994-06-18,336000,336000,338000.0,338000.0,0.0,initial_claims,,0.0,
1994-06-25,341000,341000,336000.0,336000.0,0.0,initial_claims,,0.0,
1994-07-02,334000,334000,341000.0,341000.0,0.0,initial_claims,,0.0,
1994-07-09,341000,341000,334000.0,334000.0,0.0,initial_claims,,0.0,
1994-07-16,359000,359000,341000.0,341000.0,0.0,initial_claims,,0.0,
1994-07-23,345000,345000,359000.0,359000.0,0.0,initial_claims,,0.0,
1994-07-30,332000,332000,345000.0,345000.0,0.0,initial_claims,,0.0,
1994-08-06,338000,338000,332000.0,332000.0,0.0,initial_claims,,0.0,
1994-08-13,335000,335000,338000.0,338000.0,0.0,initial_claims,,0.0,
1994-08-20,331000,331000,335000.0,335000.0,0.0,initial_claims,,0.0,
1994-08-27,341000,341000,331000.0,331000.0,0.0,initial_claims,,0.0,
1994-09-03,339000,339000,341000.0,341000.0,0.0,initial_claims,,0.0,
1994-09-10,331000,331000,339000.0,339000.0,0.0,initial_claims,,0.0,
1994-09-17,326000,326000,331000.0,331000.0,0.0,initial_claims,,0.0,
1994-09-24,325000,325000,326000.0,326000.0,0.0,initial_claims,,0.0,
1994-10-01,330000,330000,325000.0,325000.0,0.0,initial_claims,,0.0,
1994-10-08,341000,341000,330000.0,330000.0,0.0,initial_claims,,0.0,
1994-10-15,335000,335000,341000.0,341000.0,0.0,initial_claims,,0.0,
1994-10-22,330000,330000,335000.0,335000.0,0.0,initial_claims,,0.0,
1994-10-29,331000,331000,330000.0,330000.0,0.0,initial_claims,,0.0,
1994-11-05,328000,328000,331000.0,331000.0,0.0,initial_claims,,0.0,
1994-11-12,329000,329000,328000.0,328000.0,0.0,initial_claims,,0.0,
1994-11-19,326000,326000,329000.0,329000.0,0.0,initial_claims,,0.0,
1994-11-26,329000,329000,326000.0,326000.0,0.0,initial_claims,,0.0,
1994-12-03,324000,324000,329000.0,329000.0,0.0,initial_claims,,0.0,
1994-12-10,329000,329000,324000.0,324000.0,0.0,initial_claims,,0.0,
1994-12-17,330000,330000,329000.0,329000.0,0.0,initial_claims,,0.0,
1994-12-24,314000,314000,330000.0,330000.0,0.0,initial_claims,,0.0,
1994-12-31,319000,319000,314000.0,314000.0,0.0,initial_claims,,0.0,
1995-01-07,338000,338000,319000.0,319000.0,0.0,initial_claims,,0.0,
1995-01-14,347000,347000,338000.0,338000.0,0.0,initial_claims,,0.0,
1995-01-21,325000,325000,347000.0,347000.0,0.0,initial_claims,,0.0,
1995-01-28,324000,324000,325000.0,325000.0,0.0,initial_claims,,0.0,
1995-02-04,324000,324000,324000.0,324000.0,0.0,initial_claims,,0.0,
1995-02-11,348000,348000,324000.0,324000.0,0.0,initial_claims,,0.0,
1995-02-18,343000,343000,348000.0,348000.0,0.0,initial_claims,,0.0,
1995-02-25,336000,336000,343000.0,343000.0,0.0,initial_claims,,0.0,
1995-03-04,339000,339000,336000.0,336000.0,0.0,initial_claims,,0.0,
1995-03-11,347000,347000,339000.0,339000.0,0.0,initial_claims,,0.0,
1995-03-18,343000,343000,347000.0,347000.0,0.0,initial_claims,,0.0,
1995-03-25,332000,332000,343000.0,343000.0,0.0,initial_claims,,0.0,
1995-04-01,335000,335000,332000.0,332000.0,0.0,initial_claims,,0.0,
1995-04-08,347000,347000,335000.0,335000.0,0.0,initial_claims,,0.0,
1995-04-15,355000,355000,347000.0,347000.0,0.0,initial_claims,,0.0,
1995-04-22,349000,349000,355000.0,355000.0,0.0,initial_claims,,0.0,
1995-04-29,365000,365000,349000.0,349000.0,0.0,initial_claims,,0.0,
1995-05-06,364000,364000,365000.0,365000.0,0.0,initial_claims,,0.0,
1995-05-13,366000,366000,364000.0,364000.0,0.0,initial_claims,,0.0,
1995-05-20,377000,377000,366000.0,366000.0,0.0,initial_claims,,0.0,
1995-05-27,374000,374000,377000.0,377000.0,0.0,initial_claims,,0.0,
1995-06-03,362000,362000,374000.0,374000.0,0.0,initial_claims,,0.0,
1995-06-10,367000,367000,362000.0,362000.0,0.0,initial_claims,,0.0,
1995-06-17,378000,378000,367000.0,367000.0,0.0,initial_claims,,0.0,
1995-06-24,358000,358000,378000.0,378000.0,0.0,initial_claims,,0.0,
1995-07-01,355000,355000,358000.0,358000.0,0.0,initial_claims,,0.0,
1995-07-08,372000,372000,355000.0,355000.0,0.0,initial_claims,,0.0,
1995-07-15,389000,389000,372000.0,372000.0,0.0,initial_claims,,0.0,
1995-07-22,390000,390000,389000.0,389000.0,0.0,initial_claims,,0.0,
1995-07-29,351000,351000,390000.0,390000.0,0.0,initial_claims,,0.0,
1995-08-05,351000,351000,351000.0,351000.0,0.0,initial_claims,,0.0,
1995-08-12,353000,353000,351000.0,351000.0,0.0,initial_claims,,0.0,
1995-08-19,362000,362000,353000.0,353000.0,0.0,initial_claims,,0.0,
1995-08-26,359000,359000,362000.0,362000.0,0.0,initial_claims,,0.0,
1995-09-02,355000,355000,359000.0,359000.0,0.0,initial_claims,,0.0,
1995-09-09,371000,371000,355000.0,355000.0,0.0,initial_claims,,0.0,
1995-09-16,376000,376000,371000.0,371000.0,0.0,initial_claims,,0.0,
1995-09-23,353000,353000,376000.0,376000.0,0.0,initial_claims,,0.0,
1995-09-30,355000,355000,353000.0,353000.0,0.0,initial_claims,,0.0,
1995-10-07,374000,374000,355000.0,355000.0,0.0,initial_claims,,0.0,
1995-10-14,369000,369000,374000.0,374000.0,0.0,initial_claims,,0.0,
1995-10-21,366000,366000,369000.0,369000.0,0.0,initial_claims,,0.0,
1995-10-28,377000,377000,366000.0,366000.0,0.0,initial_claims,,0.0,
1995-11-04,380000,380000,377000.0,377000.0,0.0,initial_claims,,0.0,
1995-11-11,370000,370000,380000.0,380000.0,0.0,initial_claims,,0.0,
1995-11-18,379000,379000,370000.0,370000.0,0.0,initial_claims,,0.0,
1995-11-25,379000,379000,379000.0,379000.0,0.0,initial_claims,,0.0,
1995-12-02,373000,373000,379000.0,379000.0,0.0,initial_claims,,0.0,
1995-12-09,346000,346000,373000.0,373000.0,0.0,initial_claims,,0.0,
1995-12-16,373000,373000,346000.0,346000.0,0.0,initial_claims,,0.0,
1995-12-23,374000,374000,373000.0,373000.0,0.0,initial_claims,,0.0,
1995-12-30,359000,359000,374000.0,374000.0,0.0,initial_claims,,0.0,
1996-01-06,361000,361000,359000.0,359000.0,0.0,initial_claims,,0.0,
1996-01-13,333000,333000,361000.0,361000.0,0.0,initial_claims,,0.0,
1996-01-20,415000,415000,333000.0,333000.0,0.0,initial_claims,,0.0,
1996-01-27,387000,387000,415000.0,415000.0,0.0,initial_claims,,0.0,
1996-02-03,374000,374000,387000.0,387000.0,0.0,initial_claims,,0.0,
1996-02-10,387000,387000,374000.0,374000.0,0.0,initial_claims,,0.0,
1996-02-17,383000,383000,387000.0,387000.0,0.0,initial_claims,,0.0,
1996-02-24,365000,365000,383000.0,383000.0,0.0,initial_claims,,0.0,
1996-03-02,368000,368000,365000.0,365000.0,0.0,initial_claims,,0.0,
1996-03-09,361000,361000,368000.0,368000.0,0.0,initial_claims,,0.0,
1996-03-16,384000,384000,361000.0,361000.0,0.0,initial_claims,,0.0,
1996-03-23,426000,426000,384000.0,384000.0,0.0,initial_claims,,0.0,
1996-03-30,393000,393000,426000.0,426000.0,0.0,initial_claims,,0.0,
1996-04-06,369000,369000,393000.0,393000.0,0.0,initial_claims,,0.0,
1996-04-13,357000,357000,369000.0,369000.0,0.0,initial_claims,,0.0,
1996-04-20,368000,368000,357000.0,357000.0,0.0,initial_claims,,0.0,
1996-04-27,343000,343000,368000.0,368000.0,0.0,initial_claims,,0.0,
1996-05-04,338000,338000,343000.0,343000.0,0.0,initial_claims,,0.0,
1996-05-11,352000,352000,338000.0,338000.0,0.0,initial_claims,,0.0,
1996-05-18,345000,345000,352000.0,352000.0,0.0,initial_claims,,0.0,
1996-05-25,343000,343000,345000.0,345000.0,0.0,initial_claims,,0.0,
1996-06-01,340000,340000,343000.0,343000.0,0.0,initial_claims,,0.0,
1996-06-08,351000,351000,340000.0,340000.0,0.0,initial_claims,,0.0,
1996-06-15,342000,342000,351000.0,351000.0,0.0,initial_claims,,0.0,
1996-06-22,341000,341000,342000.0,342000.0,0.0,initial_claims,,0.0,
1996-06-29,337000,337000,341000.0,341000.0,0.0,initial_claims,,0.0,
1996-07-06,342000,342000,337000.0,337000.0,0.0,initial_claims,,0.0,
1996-07-13,347000,347000,342000.0,342000.0,0.0,initial_claims,,0.0,
1996-07-20,332000,332000,347000.0,347000.0,0.0,initial_claims,,0.0,
1996-07-27,327000,327000,332000.0,332000.0,0.0,initial_claims,,0.0,
1996-08-03,326000,326000,327000.0,327000.0,0.0,initial_claims,,0.0,
1996-08-10,331000,331000,326000.0,326000.0,0.0,initial_claims,,0.0,
1996-08-17,336000,336000,331000.0,331000.0,0.0,initial_claims,,0.0,
1996-08-24,337000,337000,336000.0,336000.0,0.0,initial_claims,,0.0,
1996-08-31,329000,329000,337000.0,337000.0,0.0,initial_claims,,0.0,
1996-09-07,333000,333000,329000.0,329000.0,0.0,initial_claims,,0.0,
1996-09-14,338000,338000,333000.0,333000.0,0.0,initial_claims,,0.0,
1996-09-21,352000,352000,338000.0,338000.0,0.0,initial_claims,,0.0,
1996-09-28,348000,348000,352000.0,352000.0,0.0,initial_claims,,0.0,
1996-10-05,335000,335000,348000.0,348000.0,0.0,initial_claims,,0.0,
1996-10-12,334000,334000,335000.0,335000.0,0.0,initial_claims,,0.0,
1996-10-19,335000,335000,334000.0,334000.0,0.0,initial_claims,,0.0,
1996-10-26,352000,352000,335000.0,335000.0,0.0,initial_claims,,0.0,
1996-11-02,334000,334000,352000.0,352000.0,0.0,initial_claims,,0.0,
1996-11-09,327000,327000,334000.0,334000.0,0.0,initial_claims,,0.0,
